Type,Start,End,Duration,Distance,Average Heart Rate,Max Heart Rate,Average Pace,Average Speed,Active Energy,Total Energy,Elevation Ascended,Weather Temperature,Weather Humidity
High Intensity Interval Training,8/11/2020 9:30,8/11/2020 10:26,0:55:55,2.87,150.9520661,182,8:05,8.7,667.525,757.924,139.53,79,83
High Intensity Interval Training,8/10/2020 12:32,8/10/2020 13:29,0:56:40,2.41,144.9486553,175,11:40,6.9,659.945,773.844,120.53,89,51
High Intensity Interval Training,8/4/2020 16:32,8/4/2020 17:33,1:00:45,2.47,131.5357798,164,7:45,8.2,581.705,680.447,0,83,63
High Intensity Interval Training,7/31/2020 17:45,7/31/2020 18:42,0:57:04,2.68,156.046748,202,7:24,8.8,723.303,838.639,0,76,86
High Intensity Interval Training,7/23/2020 17:47,7/23/2020 18:47,0:59:52,2.25,141.1971831,178,10:56,7.7,644.82,763.467,118.41,89,58
High Intensity Interval Training,7/21/2020 17:45,7/21/2020 18:48,1:03:03,2.19,140.4382184,176,10:48,7.8,679.857,803.708,100.99,91,48
High Intensity Interval Training,7/16/2020 9:32,7/16/2020 10:24,0:51:47,2.11,140.3064877,171,8:27,8.4,538.131,646.426,37.1,76,82
High Intensity Interval Training,7/14/2020 16:31,7/14/2020 17:30,0:58:53,1.95,147.2732558,182,10:58,6.7,679.807,798.638,49.93,85,40
High Intensity Interval Training,7/13/2020 12:33,7/13/2020 13:29,0:56:03,2.2,144.4874372,186,9:29,7.9,656.686,770.401,0,82,56
High Intensity Interval Training,7/9/2020 12:31,7/9/2020 13:12,0:41:31,1.36,153.7915408,181,10:37,7.2,509.029,600.051,62.89,85,57
High Intensity Interval Training,7/2/2020 7:13,7/2/2020 8:03,0:49:55,1.52,137.6839623,182,9:31,7.9,556.464,660.511,7.85,65,93
