Type,Start,End,Duration,Distance,Average Heart Rate,Max Heart Rate,Average Pace,Average Speed,Active Energy,Total Energy,Elevation Ascended,Weather Temperature,Weather Humidity
Cross Training,7/24/2020 18:32,7/24/2020 18:59,0:27:29,1.427990674,131.984375,180,0:19:14,3.117404504,189.618,257.398,,75,90
High Intensity Interval Training,7/23/2020 17:47,7/23/2020 18:47,0:59:52,,141.1971831,178,,,644.82,763.467,,89,58
Outdoor Running,7/23/2020 17:07,7/23/2020 17:29,0:22:02,3.041968947,159.9148936,170,0:07:14,8.278016602,342.53,401.459,209.2847769,90,56
Cross Training,7/22/2020 18:09,7/22/2020 19:06,0:57:22,0.718962714,115.0628366,176,1:19:48,0.75175152,392.82,507.196,,70,100
High Intensity Interval Training,7/21/2020 17:45,7/21/2020 18:48,1:03:03,,140.4382184,176,,,679.857,803.708,,91,48
Outdoor Running,7/21/2020 13:01,7/21/2020 13:22,0:21:29,3.146580673,168.1681034,185,0:06:49,8.78386339,364.996,413.473,202.3622047,92,42
Cross Training,7/20/2020 18:31,7/20/2020 19:03,0:31:48,0.441912041,121.8854489,171,1:11:57,0.833744745,245.452,319.173,,83,76
Cross Training,7/17/2020 12:25,7/17/2020 12:51,0:26:46,0.230635495,125.652459,160,1:56:07,0.516692984,229.542,273.565,,88,64
High Intensity Interval Training,7/16/2020 9:32,7/16/2020 10:24,0:51:47,,140.3064877,171,,,538.131,646.426,,76,82
Outdoor Running,7/15/2020 12:17,7/15/2020 13:09,0:52:00,6.744924617,158.5973154,172,0:07:42,7.780926488,760.194,862.037,350.6889764,86,44
High Intensity Interval Training,7/14/2020 16:31,7/14/2020 17:30,0:58:53,,147.2732558,182,,,679.807,798.638,,85,40
Cross Training,7/14/2020 12:16,7/14/2020 12:32,0:15:18,0.758138884,164.1935484,187,0:20:11,2.971544817,190.49,238.739,,88,33
Cross Training,7/13/2020 18:25,7/13/2020 18:57,0:32:13,0.243302308,114.921659,165,2:12:27,0.452997536,188.307,261.473,,81,59
High Intensity Interval Training,7/13/2020 12:33,7/13/2020 13:29,0:56:03,,144.4874372,186,,,656.686,770.401,,82,56
Outdoor Running,7/11/2020 17:50,7/11/2020 18:38,0:48:23,6.057587497,150.2414414,174,0:07:59,7.510204292,669.802,760.069,350.328084,84,54
Outdoor Running,7/9/2020 18:32,7/9/2020 18:38,0:06:11,0.942118182,182.5454545,185,0:06:34,9.118863773,108.298,141.68,36.87664042,86,66
Outdoor Running,7/9/2020 18:17,7/9/2020 18:23,0:05:53,0.998225526,177.925,181,0:05:54,10.16496845,107.582,117.792,35.69553806,86,66
High Intensity Interval Training,7/9/2020 12:31,7/9/2020 13:12,0:41:31,,153.7915408,181,,,509.029,600.051,,85,57
Cross Training,7/8/2020 7:36,7/8/2020 9:29,0:06:11,0.354582716,99.84057971,129,0:17:28,3.433525295,38.595,191.888,,73,96
High Intensity Interval Training,7/7/2020 7:10,7/7/2020 8:01,0:51:05,,141.0566038,198,,,563.356,668.31,,70,93
Traditional Strength Training,7/6/2020 8:03,7/6/2020 9:04,1:00:56,,106.2154399,155,,,328.33,450.131,,76,86
High Intensity Interval Training,7/3/2020 17:45,7/3/2020 18:25,0:39:45,,153.0940919,182,,,485.214,572.967,,90,47
