"Segment","Latitude","Longitude","Altitude (m)","Time (UTC ISO)","Time (UTC)","Time (Local)","UNIX Epoch Time"
1,"39.16757961821237","-77.03950481344734","120.50642395019531","2020-05-31T15:22:28.331Z","2020-05-31 15:22:28.331","2020-05-31 11:22:28.331","1590938548.331"
1,"39.1675712215584","-77.03948511336196","120.65644836425781","2020-05-31T15:22:29.460Z","2020-05-31 15:22:29.460","2020-05-31 11:22:29.460","1590938549.46"
1,"39.16756476821321","-77.03946983951586","120.7730712890625","2020-05-31T15:22:30.332Z","2020-05-31 15:22:30.332","2020-05-31 11:22:30.332","1590938550.332"
1,"39.16755745919259","-77.03945219394653","120.9085922241211","2020-05-31T15:22:31.331Z","2020-05-31 15:22:31.331","2020-05-31 11:22:31.331","1590938551.331"
1,"39.16755029278015","-77.0394342479109","121.04788970947266","2020-05-31T15:22:32.332Z","2020-05-31 15:22:32.332","2020-05-31 11:22:32.332","1590938552.332"
1,"39.1675437014131","-77.03941687673255","121.18465423583984","2020-05-31T15:22:33.282Z","2020-05-31 15:22:33.282","2020-05-31 11:22:33.282","1590938553.282"
1,"39.167537389721694","-77.03939910371466","121.32706451416016","2020-05-31T15:22:34.231Z","2020-05-31 15:22:34.231","2020-05-31 11:22:34.231","1590938554.231"
1,"39.167531420165126","-77.03938080048843","121.47683715820312","2020-05-31T15:22:35.181Z","2020-05-31 15:22:35.181","2020-05-31 11:22:35.181","1590938555.181"
1,"39.16752587509328","-77.03936190637721","121.63512420654297","2020-05-31T15:22:36.131Z","2020-05-31 15:22:36.131","2020-05-31 11:22:36.131","1590938556.131"
1,"39.16752082477886","-77.03934235963507","121.80298614501953","2020-05-31T15:22:37.081Z","2020-05-31 15:22:37.081","2020-05-31 11:22:37.081","1590938557.081"
1,"39.16751632912613","-77.0393221189265","121.98112487792969","2020-05-31T15:22:38.031Z","2020-05-31 15:22:38.031","2020-05-31 11:22:38.031","1590938558.031"
1,"39.16751237191301","-77.03930075474216","122.17357635498047","2020-05-31T15:22:38.999Z","2020-05-31 15:22:38.999","2020-05-31 11:22:38.999","1590938558.999"
1,"39.16750899642009","-77.03927788336391","122.38397979736328","2020-05-31T15:22:39.999Z","2020-05-31 15:22:39.999","2020-05-31 11:22:39.999","1590938559.999"
1,"39.16750637725695","-77.03925420778131","122.6055908203125","2020-05-31T15:22:40.999Z","2020-05-31 15:22:40.999","2020-05-31 11:22:40.999","1590938560.999"
1,"39.167504524375396","-77.03922976545266","122.83719635009766","2020-05-31T15:22:41.999Z","2020-05-31 15:22:41.999","2020-05-31 11:22:41.999","1590938561.999"
1,"39.167503436554796","-77.03920460649867","123.07716369628906","2020-05-31T15:22:42.999Z","2020-05-31 15:22:42.999","2020-05-31 11:22:42.999","1590938562.999"
1,"39.16750310184962","-77.03917878904345","123.32345581054688","2020-05-31T15:22:43.999Z","2020-05-31 15:22:43.999","2020-05-31 11:22:43.999","1590938563.999"
1,"39.167503498675906","-77.03915237306498","123.57377624511719","2020-05-31T15:22:44.999Z","2020-05-31 15:22:44.999","2020-05-31 11:22:44.999","1590938564.999"
1,"39.16750459777605","-77.03912541833057","123.8255844116211","2020-05-31T15:22:45.999Z","2020-05-31 15:22:45.999","2020-05-31 11:22:45.999","1590938565.999"
